START TIME: 1394482155.69
"wheel","-","1394483403.36","Mon Mar 10 13:30:03 2014"
"wheel","-","1394483404.11","Mon Mar 10 13:30:04 2014"
"wheel","-","1394483404.93","Mon Mar 10 13:30:04 2014"
"wheel","-","1394483406.13","Mon Mar 10 13:30:06 2014"
"wheel","-","1394483417.45","Mon Mar 10 13:30:17 2014"
"wheel","-","1394483424.66","Mon Mar 10 13:30:24 2014"
"wheel","-","1394483426.69","Mon Mar 10 13:30:26 2014"
"wheel","-","1394483427.77","Mon Mar 10 13:30:27 2014"
"wheel","-","1394483431.92","Mon Mar 10 13:30:31 2014"
"wheel","-","1394483434.74","Mon Mar 10 13:30:34 2014"
"wheel","-","1394483436.16","Mon Mar 10 13:30:36 2014"
"wheel","-","1394483439.17","Mon Mar 10 13:30:39 2014"
"wheel","-","1394483442.84","Mon Mar 10 13:30:42 2014"
"wheel","-","1394483443.90","Mon Mar 10 13:30:43 2014"
"wheel","-","1394483444.54","Mon Mar 10 13:30:44 2014"
"wheel","-","1394483445.22","Mon Mar 10 13:30:45 2014"
"wheel","-","1394483468.03","Mon Mar 10 13:31:08 2014"
"wheel","-","1394483479.32","Mon Mar 10 13:31:19 2014"
"wheel","-","1394483493.77","Mon Mar 10 13:31:33 2014"
"wheel","-","1394483497.18","Mon Mar 10 13:31:37 2014"
"wheel","-","1394483503.00","Mon Mar 10 13:31:42 2014"
"wheel","-","1394483505.20","Mon Mar 10 13:31:45 2014"
"wheel","-","1394483509.36","Mon Mar 10 13:31:49 2014"
"wheel","-","1394483513.19","Mon Mar 10 13:31:53 2014"
"wheel","-","1394483513.85","Mon Mar 10 13:31:53 2014"
"wheel","-","1394483514.53","Mon Mar 10 13:31:54 2014"
"wheel","-","1394483515.18","Mon Mar 10 13:31:55 2014"
"wheel","-","1394483516.40","Mon Mar 10 13:31:56 2014"
"wheel","-","1394483519.03","Mon Mar 10 13:31:59 2014"
"wheel","-","1394483520.63","Mon Mar 10 13:32:00 2014"
"wheel","-","1394483521.48","Mon Mar 10 13:32:01 2014"
"wheel","-","1394483522.38","Mon Mar 10 13:32:02 2014"
"wheel","-","1394483523.68","Mon Mar 10 13:32:03 2014"
"wheel","-","1394483531.88","Mon Mar 10 13:32:11 2014"
"wheel","-","1394483532.75","Mon Mar 10 13:32:12 2014"
"wheel","-","1394483533.59","Mon Mar 10 13:32:13 2014"
"wheel","-","1394483534.76","Mon Mar 10 13:32:14 2014"
"wheel","-","1394483535.71","Mon Mar 10 13:32:15 2014"
"wheel","-","1394483536.60","Mon Mar 10 13:32:16 2014"
"wheel","-","1394483537.50","Mon Mar 10 13:32:17 2014"
"wheel","-","1394483541.75","Mon Mar 10 13:32:21 2014"
"wheel","-","1394483543.51","Mon Mar 10 13:32:23 2014"
"wheel","-","1394483545.00","Mon Mar 10 13:32:24 2014"
"wheel","-","1394483546.00","Mon Mar 10 13:32:25 2014"
"wheel","-","1394483546.76","Mon Mar 10 13:32:26 2014"
"wheel","-","1394483547.47","Mon Mar 10 13:32:27 2014"
"wheel","-","1394483548.14","Mon Mar 10 13:32:28 2014"
